name,former_name,logo,logo_size,logo_caption,image,image_size,image_caption,type,traded_as,founder,location_city,location_country,area_served,key_people,industry,products,revenue,operating_income,net_income,assets,equity,num_employees,subsid,foundation,homepage,founded,founders,services,num_employees_year,ISIN,predecessors,hq_location,hq_location_country,num_locations,website,image_upright,predecessor,revenue_year,income_year,net_income_year,assets_year,equity_year,owner,divisions,footnotes,location,aum,hq_location_city,trading_name,production,owners,brands,former_names,parent,logo_class,module,locations,logo_upright,logo_alt,image_alt,trade_name,areas_served,ratio,rating,native_name,native_name_lang
"Industria de Diseño Textil, S.A.",,[[File:Inditex logo black.svg|250px|class=skin-invert]],250px,,Sede de inditex arteixo.jpg,,"Headquarters in [[Arteixo]], Spain",[[Public company]],{{BMAD|ES0148396007|ITX}} <br>[[IBEX 35]],,"[[Arteixo]], [[Galicia (Spain)|Galicia]]",Spain,Worldwide,{{Unbulleted list|Óscar García Maceiras ([[Chief executive officer|CEO]])|[[Marta Ortega]] ([[chairwoman]])}},[[Retail industry|Retail]],[[Clothing]] & [[fashion]],{{increase}} €38.63 billion (2024),{{increase}} €7.57 billion (2024),{{increase}} €5.86 billion (2024),{{increase}} €34.71 billion (2024),{{increase}} €19.67 billion (2024),"{{increase}} 162,083 (2024)","[[Zara (clothing)|Zara]], [[Bershka]], [[Pull&Bear]], [[Massimo Dutti]], [[Stradivarius (Inditex)|Stradivarius]], [[Oysho]], [[Zara Home]], [[Uterqüe]], Lefties","[[A Coruña]], [[Galicia, Spain|Galicia]], Spain<br />( {{Start date and age|df|=|yes|1985|06|12}} )",{{URL|http://www.inditex.com}},,[[Amancio Ortega]]<br />[[Rosalía Mera]],,,{{ISIN|sl|=|n|pl|=|y|ES0148396007}},,,,,,,"{{unbulleted list|Confecciones GOA, S.A.|GOASAM, S.A.}}",,,,,,[[Amancio Ortega]] (59%),,,,,,,,,,,,,,"5,563 stores",,,,Inditex,,,,,
Infineon Technologies AG,,Infineon-Logo.svg,,,Campeon Luftbild.JPG,,"Infineon's headquarters ""Campeon"" in Neubiberg",[[Public company|Public]],{{Ubl|FWB|IFX|isin|=|DE0006231004|[[DAX]] component}} {{FWB|IFX|isin|=|DE0006231004}},,[[Neubiberg]],Germany,,"{{Unbulleted list
   | Jochen Hanebeck ([[Chief executive officer|CEO]] and [[Chairman]] of the executive board) |ref|{{cite news |title=Chipmaker Infineon ready to spend billions on acquisitions – CEO |url=https://www.reuters.com/technology/infineon-ready-spend-billions-acquisitions-ceo-2022-12-28/ |access-date=13 October 2023 |work=Reuters |date=28 December 2022 }}|</ref>|
   | Herbert Diess (Chairman of the [[supervisory board]])|ref|{{cite web |url=https://www.infineon.com/dgdl/CV-Dr.-Herbert-Diess-deutsch.pdf?fileId=8ac78c8b85ecb0c401865b575dc000b8 |title=Dr. Herbert Diess |date=17 February 2023 |access-date=1 December 2024 }}|</ref>|}}",[[Semiconductor industry|Semiconductor]],"{{unbulleted list
   | [[Microcontroller]]s
   | [[Telecommunication]]s
   | [[Integrated circuit]]s
   | [[Power electronics]]
   | [[Transient-voltage-suppression diode]]s}}",{{Decrease}} {{€|14.662&nbsp;billion|link|=|yes}} (2025),{{Decrease}} {{€|1.515&nbsp;billion}} (2025),{{Decrease}} {{€|1.015&nbsp;billion}} (2025),{{Increase}} {{€|30.47&nbsp;billion}} (2025),{{Decrease}} {{€|17.051&nbsp;billion}} (2025),"57,077 (2025)",,{{start date and age|df|=|yes|1999|04|01}},{{URL|https://www.infineon.com/|infineon.com}},,,,,,,,,,,1.1,,,,,,,,{{Unbulleted list|Automotive|Green Industrial Power|Power & Sensor Systems|Connected Secure Systems}},,,,,,,,,,,,,,1.0,,,,,,,,
ING Groep N.V.,,ING Group N.V. Logo.svg,,,2020 ING Bijlmerdreef 106 (1).jpg,250px,"ING's headquarters in [[Amsterdam]], Netherlands",[[Public company|Public]],{{EuronextAmsterdam|INGA|NL0011821202|XAMS}} <br /> {{NYSE|ING}} <br />[[AEX index|AEX]] component,,,,"Europe, Asia, [[Oceania]], North America, South America",{{unbulleted list|Steven van Rijswijk ([[chief executive officer|CEO]])|Tanate Phutrakul ([[chief financial officer|CFO]])|[[Hans Wijers]] ([[chairman]] of the [[supervisory board]])}},[[Financial services]],{{ubl | [[Asset management]] | [[Banking]] | [[Commodities]] | [[Credit card]]s | [[Equities trading]] | [[Insurance]] | [[Investment management]] | [[Mortgage loan]]s | [[Mutual funds]] | [[Exchange-traded fund]]s | [[Index fund]]s | [[Private equity]] | [[Risk management]] | [[Wealth management]]}},[[Euro|€]]18.561 billion <small>(2022)</small>,€5.5 billion <small>(2022)</small>,€3.78 billion <small>(2022)</small>,€1.1 trillion <small>(Q3 2025)</small>,€50.4 billion <small>(2022)</small>,"60,778 <small>(2022)</small>",AFP Capital<br />[[Bank Mendes Gans]]<br />Makelaarsland and The Baring Archive,1991 through merger <br /><small>(est. 1743 as ''Kooger Doodenbos'')</small>,{{URL|ing.com}},,,,,{{ISIN|sl|=|n|pl|=|y|NL0011821202}},,,,,,,,,,,,,,,,"[[Amsterdam]], Netherlands",,,,,,,,,,,,,,,,,,,,
Intesa Sanpaolo S.p.A.,,,250px,,Grattacielo_Intesa_San_Paolo_-_panoramio_(3).jpg,,Headquarters building in [[Turin]],[[Public company|Public]],{{ISE|IT0000072618|ISP}} <br />[[FTSE MIB|FTSE MIB Component]],,,,,"{{unbulleted list
  |[[Gian Maria Gros-Pietro]] (chairman)
  |[[Carlo Messina]] (CEO)}}",[[Financial services]],{{ubl | [[Asset management]] | [[Banking]] | [[Commodities]] | [[Credit card]]s | [[Equities trading]] | [[Insurance]] | [[Investment management]] | [[Mortgage loan]]s | [[Mutual funds]] | [[Exchange-traded fund]]s | [[Index fund]]s | [[Private equity]] | [[Risk management]] | [[Wealth management]]}},,{{increase}} €21.47 [[billion]],{{increase}} €4.35&nbsp;[[billion]],"{{increase}} €944,024 [[billion]] (Q3 2025)",,{{decrease}} 95574,isybank,,{{URL|https://www.intesasanpaolo.com/}},{{start date and age|2007|1}} (merger),,,2022,{{ISIN|sl|=|n|pl|=|y|IT0000072618}},{{Unbulleted list | [[Banca Intesa]] | [[Sanpaolo IMI]]}},,,"{{aligned table | 4,565 branches | 3,611 in Italy | 954 abroad}}",,,,,2022,2022,,,Fondazione Compagnia di San Paolo (6.5%)<br>[[Fondazione Cariplo]] (5.26%),,in [[consolidated financial statement]]; other source,"[[Grattacielo Intesa Sanpaolo]], [[Turin]], Italy",{{increase}} [[€]]430 [[billion]] {{small|(2022)}},,,,,,,,,,,,,,,{{Unbulleted list|[[Italy]]|[[Eastern Europe#Central Europe|Central-Eastern Europe]]|[[Egypt]]}},"{{increase}} 13.26% (Group CET1, end 2024)","{{aligned table|BBB|(Fitch, 2022)|ref| name=""FitchRating""|{{cite web |url=https://www.fitchratings.com/research/banks/fitch-affirms-intesa-sanpaolo-at-bbb-outlook-stable-29-11-2022|title=Fitch Affirms Intesa Sanpaolo at'BBB', Outlook Stable|language=|publisher=|access-date=17 July 2023}}|</ref>|baa1 |(Moody's, 2022)|ref| name=""moodys""|{{cite web |url=https://www.finanza.com/news/banche-moodys-allinea-outlook-a-quello-sovrano-intesa-sanpaolo-bper-unicredit-credem-e-carige|title=Banche, Moody's allinea outlook a quello sovrano: Intesa Sanpaolo, Bper, UniCredit, Credem e Carige|language=it|publisher=|access-date=17 July 2023}}|</ref>}}",,
L'Oréal S.A.,,[[File:L'Oréal logo.svg|frameless|250px|class=skin-invert]],,,Extension siège L'Oréal (43707042205).jpg,250px,"L'Oréal's headquarters in [[Clichy, Hauts-de-Seine|Clichy]], France",[[Public company|Public]],{{EuronextParis|OR|FR0000120321}} <br />[[CAC 40]] component,[[Eugène Schueller]],"[[Clichy, Hauts-de-Seine|Clichy]]",France,Worldwide,{{ubl|[[Jean-Paul Agon]] ([[chairman]])|Jean Victor Meyers ([[vice-chairman]])|[[Nicolas Hieronimus]] ([[Chief executive officer|CEO]])}},Consumer goods,{{hlist|Cosmetics|skin care|perfume}},{{increase}} €43.48 billion (2024),{{increase}} €8.68 billion (2024),{{increase}} €6.40 billion (2024),{{increase}} €56.35 billion (2024),{{increase}} €33.13 billion (2024),"90,000 (2024)","{{Plainlist|
* AcneFree
* [[Aesop (brand)|Aesop]]
* Ambi
* [[CeraVe]]
* [[Garnier]]
* [[Helena Rubinstein Incorporated]]
* [[Kiehl's]]
* [[Lancôme]]
* Matrix Essentials
* [[Maybelline]]
* [[NYX Cosmetics]]}}",{{start date and age|df|=|yes|1909|07|30}},{{URL|https://www.loreal.com/en/|loreal.com}},,,,,{{ISIN|sl|=|n|pl|=|y|FR0000120321}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LVMH Moët Hennessy Louis Vuitton SE,,[[File:LVMH wordmark.svg|frameless|class=skin-invert]],,,22 avenue Montaigne Paris.jpg,250px,"Headquarters in Paris, France",[[Public company|Public]],{{Unbulleted list |EuronextParis|MC|FR0000121014|XPAR| |[[CAC 40]] component}} {{EuronextParis|MC|FR0000121014|XPAR}},,,,Worldwide,[[Bernard Arnault]] {{small|([[chairman]] and [[Chief executive officer|CEO]])}} <br /> Stéphane Bianchi {{small|(Group Managing Director)}} <br /> [[Antoine Arnault]] {{small|(Director; CEO of [[Dior|Christian Dior SE]])}} <br /> [[Delphine Arnault]] {{small|(Director; CEO of Christian Dior Couture)}},[[Luxury goods]],{{hlist|[[Clothing]]|[[cosmetics]]|[[Fashion accessory|fashion accessories]]|[[Jewellery|jewelry]]|[[perfume]]s|[[Distilled beverage|spirits]]|[[watch]]es|[[wine]]s}},{{decrease}} [[Euro|€]]84.7 billion (2024),{{decrease}} €18.9 billion (2024),{{decrease}} €12.6 billion (2024),{{increase}} €149.2 billion (2024),{{increase}} €69.3 billion (2024),"{{increase}} 215,000 (2024)",[[#Subsidiaries|List of subsidiaries]],{{Start date and age|1987|6|3|df|=|y}},,,{{ubl|Alain Chevalier|[[Henry Racamier]]}},[[Department stores]],,{{ISIN|sl|=|n|pl|=|y|FR0000121014}},{{ubl|[[Moët & Chandon]]|[[Hennessy]]|[[Louis Vuitton]]}},"22 [[Avenue Montaigne]]<br />Paris, France",,"{{increase}} 6,307 stores (2024)",{{URL|https://www.lvmh.com/}},,,,,,,,,,Financials {{as of|2024|12|31|lc|=|y|df|=|US}} .<br />References:,,,,,,"{{ubl|
*[[Dior|Christian Dior SE]] and the Arnault family|ref| name=finance|{{cite web |url=https://www.dior-finance.com/en/historique-copie-en.html |title=History |publisher=Christian Dior Finance website |access-date=2024-11-01}}|</ref>| (48.6% of shares, 64.33% of votes)
*[[Public float]] (51.4% of shares; 2023)|ref| name=Euronext|{{cite web |url=https://live.euronext.com/en/product/equities/FR0000121014-XPAR/company-information |title=LVMH |publisher=Euronext Paris |access-date=December 10, 2024}}|</ref>|}} (48.6% of shares, 64.33% of votes)
*[[Public float]] (51.4% of shares; 2023)",,LVMH Moët Hennessy Louis Vuitton [[S.A. (corporation)|SA]] (1987–2015),,,,,,,,LVMH,,,,,
Mercedes-Benz Group AG,"{{ubl
|Daimler-Benz AG (1926–1998)
|DaimlerChrysler AG (1998–2007)
|Daimler AG (2007–2022)}}",[[File:Mercedes-Benz Group black.svg|frameless|class=skin-invert]],250px,,Stuttgart-Untertuerkheim-DC-Zentrale.jpg,250px,"Central headquarters in Mercedes-Benz complex Untertürkheim, Stuttgart",[[Public company|Public]],{{Unbulleted list|FWB|MBG|[[DAX]] component}} {{FWB|MBG}},,[[Stuttgart]],Germany,Worldwide,{{unbulleted list|[[Ola Källenius]] (chairman of the management board)|[[Martin Brudermüller]] (chairman of the supervisory board)}},[[Automotive industry|Automotive]],"[[Automobile]]s, [[commercial vehicle]]s",{{decrease}} €145.6&nbsp;billion (2024),{{decrease}} €13.60&nbsp;billion (2024),{{decrease}} €10.41&nbsp;billion (2024),{{increase}} €265.0&nbsp;billion (2024),{{increase}} €93.63&nbsp;billion (2024),"{{increase}} 175,264 (2024)","{{Collapsible list|title|=|List|
'''Transportation'''
* [[Mercedes-Benz Mexico]]
* [[Cooperation Manufacturing Plant Aguascalientes|COMPAS]] (50%)
* [[Beijing Benz]] (49%)
* [[Fujian Benz]] (34%)
* [[Mercedes-Benz India]]
* [[Smart (marque)|Smart]] (50%)
* Mercedes-Benz Cars Middle East
* [[Manufacturing Commercial Vehicles]]
'''Motorsports'''
* [[Mercedes-Benz in Formula One|Mercedes-AMG Petronas Formula One Team]] (33.3%)
'''Engines'''
* Engine Holding
'''Finances'''
* [[Mercedes-Benz Mobility]]
** [[Mercedes-Benz Bank]]
** Mercedes-Benz Financial
'''Other'''
* [[Here (company)|Here]]}}",{{start date and age|df|=|yes|1926|6|28}} (original foundation of Daimler-Benz)<br /> {{start date and age|df|=|yes|2007|8|3}} (foundation of Daimler AG),{{URL|group.mercedes-benz.com}},,[[Carl Benz]]<br>[https://de.wikipedia.org/wiki/Wilhelm%20Kissel Wilhelm Kissel] <br>[[Emil Georg von Stauß]] {{sfn|Reuss|Esslinger|2023|p|=|88}},,,,"{{plain list|
* [[Benz & Cie.]] (1883–1926)
* [[Daimler Motoren Gesellschaft]] (1890&ndash;1926)}}",,,,,,,,,,,,,,,,,,,{{decrease}} 2.389 million (2024 sales),"{{unbulleted list |Institutional investors (52.7%)|Private shareholders (22.8%)|[[BAIC Group]] (9.98%)|ref|{{cite web |title=Daimler welcomes commitment by long-term partner BAIC |url=https://www.daimler.com/company/news/211213-baic.html |website=Mercedes-Benz Group |access-date=8 February 2022 |archive-date=16 January 2022 |archive-url=https://web.archive.org/web/20220116190514/https://www.daimler.com/company/news/211213-baic.html |url-status=dead }}|</ref>|Tenaciou3 Prospect Investment Limited ([[Li Shufu]]) (9.7%)|ref| name=""auto1""|{{cite web | url=https://group.mercedes-benz.com/investors/share/shareholder-structure/ | title=Shareholder Structure }}|</ref>|[[Kuwait Investment Authority]] (6.8%)}}","{{plainlist|
* [[Mercedes-Benz]]
* [[Mercedes-EQ]]
* [[Mercedes-Maybach]]
* [[Mercedes-AMG]]
* [[Smart (marque)|Smart]]}}",,,,,,,,,,,,,,
Munich Re Group,,Munich Re.svg,,,,,,''[[Aktiengesellschaft]]'',{{FWB|MUV2}} <br />[[DAX|DAX Component]],,,,Worldwide,"[https://www.munichre.com/en/group/company/board-of-management/members/curriculum-vitae/curriculum-vitae-wenning/index.html Joachim Wenning] (chairman of the Board of Management), [[Nikolaus von Bomhard]] ([[chairman]] of the [[supervisory board]])",[[Financial services]],{{ubl|[[Insurance]] |[[General insurance]] |[[Health insurance]] |[[Vehicle insurance]] |[[Travel insurance]] |[[Home insurance]] |[[Life insurance]] | [[Reinsurance]] |[[Mortgage loan]]s |[[Investment management]] | [[Asset management]]}},€67.1 billion (2022),€3.58 billion (2022),€3.41 billion (2022),€298.5 billion (2022),€21.2 billion (2022),"41,389 (2022)",[[Ergo Group]]<br>[https://de.wikipedia.org/wiki/MEAG MEAG]<br>[[HDFC ERGO General Insurance Company]],,{{url|https://www.munichre.com/}},{{start date and age|1880|04|03|df|=|y}},,,,,,,,,,,,,,,,,,,,"[[Munich]], Germany",,,,,,,,,,,,,,,Munich Re,,,,''Münchener Rückversicherungs-Gesellschaft Aktiengesellschaft in München'',
Nordea Bank Abp,"Merita Bank, Unibank, Nordbanken, Kreditkassen",,,,0661 Nordea Helsinki.JPG,250px,"The global headquarters of Nordea is located in [[Vallila]], [[Helsinki]]",[[Osakeyhtiö#Julkinen osakeyhtiö|Public limited company (Publikt Aktiebolag)]],{{ubl|OMX|HEX150235|NDA FI|OMX|SSE160271|NDA SE|OMX|CSE160272|NDA DK}} {{OMX|HEX150235|NDA FI}} {{OMX|SSE160271|NDA SE}} {{OMX|CSE160272|NDA DK}},[[Hans Dalborg]],,,,{{ubl|ILL|Stephen Hester|sv| ([[chair (official)|Chairman]])|ref|{{cite web |title=Nordea Corporate Governance |url=https://www.nordea.com/en/about-us/corporate-governance/board-of-directors/sir-stephen-hester |website=www.nordea.com |publisher=Nordea |access-date=13 August 2024}}|</ref>| | |ILL|Frank Vang-Jensen|sv| (President and [[chief executive officer|CEO]])|ref|[https://www.nordea.com/sv/om-nordea/bolagsstyrning/styrelse/styrelsens-ledamoter/ Styrelsens ledamöter] Nordea.com. Retrieved 2020-10-22|</ref>}} {{ILL|Stephen Hester|sv}} ([[chair (official)|Chairman]]) {{ILL|Frank Vang-Jensen|sv}} (President and [[chief executive officer|CEO]]),,"Corporate and [[retail bank]]ing, [[investment management|asset management]]",,,,,{{#invoke:WikidataIB |getValue |rank|=|best |P2137 |name|=|assets |qual|=|P585 |fetchwikidata|=|fetchwikidata|ALL| |onlysourced|=|yes |noicon|=|noicon|no| |maxvals|=|1 |equity| |#if:|equity_year| | (|equity_year|)|}} {{#if:|equity_year| | (|equity_year|)}} ),,,1820 as [[Sparekassen for Kjøbenhavn og Omegn]],{{URL|http://www.nordea.com/}},,,,,,,,,,,,,,,,,,,,,"[[Helsinki, Finland]]",{{#invoke:WikidataIB |getValue |rank|=|best |P4103 |name|=|aum |qual|=|P585 |fetchwikidata|=|fetchwikidata|ALL| |onlysourced|=|yes |noicon|=|noicon|no| |maxvals|=|1 |aum| |#if:|aum_year| | (|aum_year|)|}} {{#if:|aum_year| | (|aum_year|)}} ),,,,,,,,,,,,,,,,17.0%,AA ([[Fitch Ratings]]),Nordea Bank Abp,sv
Prosus N.V.,Myriad International Holdings,Prosus logo.svg,150px,,,,,[[Public company|Public]],{{EuronextAmsterdam|PRX|NL0013654783|XAMS}} <br> {{JSE|PRX}} <br>[[A2X Markets|A2X]]: PRX<br>[[AEX index|AEX]] component,[[Naspers]],[[Amsterdam]],Netherlands,Worldwide,[[Koos Bekker]]<br>([[Chairman]])<br>Fabricio Bloisi ([[CEO]]) <br>Basil Sgourdos<br>([[CFO]]),[[Investments]],,{{increase}} [[United States dollar|$]]6.17 billion <small>(2025)</small>,{{increase}} $173 million <small>(2025)</small>,{{increase}} $12.36 billion <small>(2025)</small>,{{increase}} $72.58 billion <small>(2025)</small>,{{increase}} $51.12 billion <small>(2025)</small>,"20,882 <small>(2024)</small>",,{{start date and age|df|=|yes|1997|4|3}},{{URL|Prosus.com}},,,,,{{ISIN|sl|=|n|pl|=|y|NL0013654783}},,,,,,,,,,,,,,,,,,,,,,,,[[Naspers]],,,,,,,,,,,,
Rheinmetall AG,,Rheinmetall Logo 2021.svg,220px,,Rheinmetall Zentrale Düsseldorf.jpg,,Rheinmetall's head office in Düsseldorf,[[Public company|Public]] ( {{lang|de|[[Aktiengesellschaft]]}} ),"{{Unbulleted list
  | |FWB|RHM|
  | |FWB|RHMB| ([[American Depositary Receipt|ADR]])
  | |OTC Pink|type|=|current|RNMBF|
  | |OTC Pink|type|=|current|RNMBY| ([[American Depositary Receipt|ADR]])
  | [[DAX]] component (RHM)}} {{FWB|RHM}} {{FWB|RHMB}} ([[American Depositary Receipt|ADR]]) {{OTC Pink|type|=|current|RNMBF}} {{OTC Pink|type|=|current|RNMBY}} ([[American Depositary Receipt|ADR]])",[[Lorenz Zuckermandel]],,,,"{{Unbulleted list
  | [[Armin Papperger]] (CEO and chairman of the [[executive board]])
  | [[Ulrich Grillo]] (Chairman of the [[supervisory board]])}}",[[Arms industry|Defence]],"[[Automotive parts]], [[military vehicle]]s, [[autocannon]]s, [[ATGMs]], [[anti-aircraft defence system]]s, artillery, mortars, tank guns, munitions, [[ammunition]], [[fuze]] systems, electronics, [[naval ships]]",{{increase}} {{€|9.751}} &nbsp;billion (2024),{{increase}} {{€|1.478}} &nbsp;billion (2024),{{increase}} {{€|808}} &nbsp;million (2024),{{increase}} {{€|14.344}} &nbsp;billion (end 2024),{{increase}} {{€|4.465}} &nbsp;billion (end 2024),{{increase}} 40.000 (2025),"{{Unbulleted list
  | [[Rheinmetall BAE Systems Land]] (55%)
  | [[Rheinmetall MAN Military Vehicles]] (51%)
  | [[Blohm+Voss]]}}",{{start date and age|df|=|yes|1889|4|13}},{{Official URL}},,,,,{{ubl|ISIN|sl|=|n|pl|=|y|DE0007030009|ISIN|sl|=|n|pl|=|y|US76206K1079}} {{ISIN|sl|=|n|pl|=|y|DE0007030009}} {{ISIN|sl|=|n|pl|=|y|US76206K1079}},,,Germany,,,,,,,,,,,,,,,[[Düsseldorf]],,,,,,,,,,,,,,,,,,
Safran S.A.,,Safran_logo.svg,250px,,Usine_Safran-Albany2.JPG,250px,,[[Public company|Public]],{{EuronextParis|SAF|FR0000073272|XPAR}} <br/>[[CAC 40]] component,,[[Paris]],France,,{{interlanguage link|Olivier Andriès|fr}} ([[Chief executive officer|CEO]])<br/>[[Ross McInnes]] ([[chairman]]),[[Aerospace industry|Aerospace]]<br/>[[Defence industry|Defence]],"[[Aircraft engine]]s, equipment, and interiors, defence [[electronics]], [[avionics]], [[navigation system]], communications systems, [[satellite]]s",{{increase}} [[Euro|€]]27.31 billion (2024),{{increase}} €4.11 billion (2024),{{increase}} €3.06  billion (2024),{{increase}} €55.01 billion (end 2024),{{decrease}} €10.72 billion (end 2024),"91,984 (2023)","[[OEMServices]] <br/>[[Safran Aero Boosters]]<br/>[[Safran Aerosystems]]<br/>[[Safran Aircraft Engines]]<br/>[[Safran Cabin]]<br/>[[Safran Ceramics]]<br/>[[Safran Electrical & Power]]<br/>[[Safran Electronics & Defense]]<br/>[[Safran Helicopter Engines]]<br/>[[Safran Landing Systems]]<br/>[[Safran Nacelles]]<br/>[[Safran Passenger Solutions]]<br/>[[Safran Seats]]<br/>[[Safran Transmission Systems]]<br/>[[ArianeGroup]] (50% ownership)
<br/>[[PowerJet]] (50% ownership)",{{Start date and age|2005|5|11|df|=|y}},{{URL|https://safran-group.com/}},,,,,,,,,,,,"[[Snecma]], [[Sagem]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compagnie de Saint-Gobain S.A.,,Saint-Gobain logo.svg,,,,,,[[S.A. (corporation)|Société Anonyme]],{{Unbulleted list|EuronextParis|SGO|FR0000125007|XPAR|[[CAC 40]] component|[[Euro Stoxx 50]] component}} {{EuronextParis|SGO|FR0000125007|XPAR}},,"[[La Défense]], [[Courbevoie]] ([[Hauts-de-Seine]])",France,Worldwide,{{unbulleted list| [[Pierre-André de Chalendar]] ([[chairman]]) |[[Benoît Bazin]] ([[chief executive officer|CEO]])}},[[Building material]]s,"[[List of building materials|Construction materials]] production and retail, glass, [[ceramic]]s, plastics, [[abrasive]]s, [[Drywall|gypsum plasterboards]]",{{decrease}} [[Euro|€]]47.94 billion (2023),{{decrease}} €5.251 billion (2023),{{decrease}} €2.756 billion (2023),{{increase}} €57.30 billion (2023),{{increase}} €23.76 billion (2023),"159,145 (2023)",,{{start date and age|df|=|yes|1665}},{{URL|saint-gobain.com}},,,,,{{ISIN|sl|=|n|pl|=|y|FR0000125007}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
